tag,kind,uses_software,uses_all,scope_note,examples,search_term,qid,qid_label,note
Drivers and IO,subject,15,16,Tools that facilitate the transmission of information across digital devices.,archaeological-informatization-poc; ArcheOS; arches-via-docker,device driver,,Q1033951 device driver (computer program that operates or controls a particular type of device) | Q5267020 Device driver synthesis and verification | Q120964495 Device driver for contactless payments (US patent 11494762),
Diagrams and visualizations,subject,14,20,Tools for summarizing and presenting in abtracted graphical form.,archeoViz; arqueologiaSVG; Ceramic-Frequency-Date-Plot,data visualization,,Q6504956 data visualization (creation and study of the visual representation of data) | Q133505171 data and information visualization (visual representation of data) | Q5597177 data visualization software (software used for data visualization),
Luminescence dating,subject,13,13,Absolute dating techniques that rely on measuring doses of ionizing radiation.,Al2O3_AnalysisApp; BayLum; DRAC-calculator,luminescence dating,,Q4335524 optically stimulated luminescence dating (form of dating how long ago mineral grains had been last exposed to sunlight or heating) | Q101483280 Luminescence Dating of Medieval and Early Modern Brickwork (thesis) | Q59581719 Luminescence dating of Chinese loess (doctoral thesis by ZhongPing Lai),
Ceramic analysis,subject,12,17,Identification and analysis of ceramic artefacts.,ArchAIDE; CeraMatch; ceramic-computation,ceramic analysis,,"Q140702169 Ceramic Analysis (scholarly article published in Plains Anthropologist, vol. 48, no. 188 (2003) (DOI: 10.1080/2052546.2003.11949320)) | Q125845244 Ceramic analysis and synthesis: Searching for new levels of understanding (scientific article published in 1994)",
Schemas and ontologies,subject,12,27,A pattern of thought or behavior that organizes categories of information and the relationships among them.,Alligator; archaeo-CRF; archaeological-informatization-poc,ontology,,"Q324254 ontology (specification of a conceptualization) | Q44325 ontology (study of the nature of being, becoming, existence or reality, as well as the basic categories of being and their relations (philosophy)) | Q54027451 Ontology Engineering in a Networked World (book edition published in 2012)",
Machine learning,subject,12,14,Use of algorithms and statistical models that learn and adapt without following explicit instructions to analyze and draw inferences from patterns in data.,Akkademia; archaeo-CRF; archaeological-informatization-poc,machine learning,,Q2539 machine learning (scientific study of algorithms and statistical models that computer systems use to perform tasks without explicit instructions) | Q6723676 Machine Learning (journal) | Q139867323 Machine Learning,
Harris matrix,subject,10,11,,ArkMatrix; harris-matrix; harris-matrix,Harris matrix,,Q58631008 Harris Matrix (file format) | Q2019166 Harris matrix (method in archaeology) | Q114134235 Harris Matrix Data Package: version 2022 of the hmdp tool with new features for the creation of stratigraphy data packages (scholarly presentation),"no scope note in tags.md -- tags.md spells it 'Harrix matrix', which is a typo worth reporting upstream"
Palaeobotany,subject,10,14,Techniques used to identify and analyze plant remains.,ArboDat; ArchaeolPhytoliths; baydem,palaeobotany,,Q96723361 Palaeobotany | Q192694 paleobotany (branch of botany and paleontology) | Q59618771 Palaeobotany (scholarly article),
Datasets,form,10,50,"Series of records, collated in a consistent manner, motivated by a need, desire or warrant to render them comparable.",ArchaeoData; archdata; caddonet,datasets,,"Q1172284 data set (collection of data, publication type) | Q131465383 datasets (concept and study of datasets) | Q107382240 datasets (Python library from Hugging Face for ML datasets)",
Seriation,subject,9,9,Technique for identifying chronological sequences based on the ordered properties of archaeological assemblages.,ca; CAseriation; CombiTab,seriation,,Q358095 seriation (relative dating method in archaeology) | Q48968948 seriation (process in statistics) | Q7454724 seriation (concept in semiotics),
X-Ray Fluorescence,subject,9,9,Technique for identifying the elemental composition of physical objects by bombarding samples with high-energy radiation.,CloudCal; ElementSourcing; elemSource,X-ray fluorescence,,"Q898974 X-ray fluorescence (emission of characteristic ""secondary"" X-rays from a material that has been excited by high-energy X-rays or gamma rays) | Q112080058 X-ray fluorescence (report published in 1989) | Q15843473 X-ray fluorescence spectrometry (analytical characterization method)",
Simulation,subject,9,13,Concerned with modelling archaeological processes in abstract terms.,ABMA_tutorials; archeofrag; babylonian-hours,simulation,,Q1610017 simulation video game (video game genre) | Q45045 simulation (Imitation of the operation of a real-world process or system over time) | Q20040590 Simulation (studio studio album by Asami Kado (1985)),
Educational resources and practical guides,form,7,47,Documents that convey instructions regarding how to achieve particular goals.,ABMA_tutorials; awesome-historical-maps; Digging-with-Python,educational resources and practical guides,,(no hits),
Literary analysis and epigraphy,subject,6,8,Techniques for examining ancient texts.,Akkademia; BAM; hammurabi-markov,epigraphy,,"Q181260 epigraphy (the study of texts inscribed on durable materials, across time, space and cultures) | Q124353416 Epigraphy (sixth chapter in The Oxford Handbook of Roman Studies, 2010) | Q136065895 Epigraphy and the Greek Historian",
Data collection,subject,6,7,Tools used to facilitate the orderly data collection and input into digital data management systems.,EDM; EDMWIN; ODK-forms-archaeology,data collection,,Q4929239 data collection (process of gathering and measuring information) | Q104601195 Data Collection of the Hungarian Peerage (Hungarian database) | Q28454366 data collection system (system for collecting data),
Platforms and publications,form,6,9,"Venues that host, validate, review or contextualize published work.",archaeological-object-sharing; crossref-predynastic; open-archeocsean,platforms and publications,,(no hits),
Cultural evolution,subject,6,7,Concerned with evolutionary theory of social change.,anthropmmd; cTransmission; neiman1995,cultural evolution,,Q1050187 sociocultural evolution (evolution of societies) | Q12031891 cultural evolution (evolutionary theory of social change) | Q133280480 Cultural Evolution (encyclopedia entry from 'Open Encyclopedia of Cognitive Science' published in 2024),
Aerial and satellite imagery,subject,5,6,Techniques for capturing images of the earth from aerial perspectives.,benmarwickDY-XYZ-data-on-an-irregular-grid-to-an-interpolated-raster.r; charcoalhearths; DroneSurveyPlanner,aerial photography,,"Q191839 aerial photography (process of capturing images from aircraft, including planes, helicopters, and drones) | Q139828045 Aerial Photography and Image Interpretation | Q65972239 Aerial Photography of the Chesapeake and Ohio Parkway (NAID 305812) (series in the National Archives and Records Administration's holdings)",
Geophysical survey,subject,5,5,"Systematic collection and analysis of geophysical signals, such as magnetic and gravitational fields emanating from the earth.",ArchaeoMag; clam; magAAR,geophysical survey,,"Q3610005 geophysical survey (the results, digital or printed, of non-invasive physical sensing techniques used for archaeological imaging or mapping) | Q1747649 geophysical survey (systematic collection of geophysical data for spatial studies, non-invasive physical sensing techniques used for archaeological imaging or mapping) | Q138837581 Geophysical survey at Hailey Wood Camp, Sapperton, Gloucestershire (book section from 'A Biography of Power: Research and Excavations at the Iron Age 'oppidum' of Bagendon, Gloucestershire (1979-2017)' published in 2020)",
Palaeoclimate modelling,subject,5,5,Simulation of Earth's past climates predating the instrumental record.,neotoma; paleofire; pastclim,palaeoclimate modelling,,(no hits),
Writing,subject,5,7,Communicating ideas through written language.,anatolia-bibliography-map; Archaeological_Catalogue_from_CSV_Spreadsheet; archaeosrp,writing,,Q37260 writing (persistent representation of language) | Q14674 pencil (writing implement) | Q2249964 writings (written records in documentation and archives),
Iconography,subject,5,5,Techniques for examining ancient symbols.,iconr; paleographic-networks; rock-art-radnet,iconography,,"Q208145 iconography (use of symbols, themes, and subject matter in the visual arts) | Q5986679 Iconography (Travis Dickerson album) | Q204231 saint symbolism (attributes, symbols, and iconography of Christian saints)",
Geoarchaeology,subject,5,6,Application of geology and earth science methods.,Gneisswork; granulizeR; pygeoroc,geoarchaeology,,"Q15755909 Geoarchaeology (academic journal) | Q431602 geoarchaeology (the application of concepts and methods of the earth sciences (especially geology, geomorphology, hydrology, sedimentology, pedology, and exploration geophysics) to archaeological problems) | Q95571908 Geoarchaeology, Earth Science and the Past (book published in 1976)",
Public archaeology,subject,5,15,The practice of presenting archaeological findings to the general public.,hsv-api; Open History Map; rockart-textanalysis,public archaeology,,Q7257314 Public Archaeology (academic journal) | Q61971571 public archaeology (archaeological sub-discipline) | Q139991727 Public archaeology and climate change: (book chapter in Public Archaeology and Climate Change (2017)),
Viewshed analysis,subject,4,4,Techniques for considering localized spatial perspectives of landscapes.,ArchaeoLines; FuzzyViewshed; QGIS-visibility-analysis,viewshed analysis,,Q7928833 viewshed analysis | Q130194258 Viewshed Analysis Based on DEM in Laoshan National Forest Park (scholarly article published in 2018),
Photogrammetry,subject,4,5,Techniques for capturing and processing spatial information based on comparison of images taken from various perspectives.,photogrammetry-object-scannner; rti; RTIBuilder,photogrammetry,,Q190149 photogrammetry (science of making measurements from photographs) | Q133271862 Photogrammetry (track on the C418 album Wanderstop) | Q133271861 Photogrammetry (song by C418),
Archaeogenetics,subject,4,5,"Analysis of degraded DNA from archaeological or anthropological sources, including skeletons of humans, domesticate animal or plants, artefacts, or cave sediments.",mobest; poseidon-framework; statuAAR,archaeogenetics,,Q636489 archeogenetics (application of the techniques of molecular population genetics to the study of the past) | Q4785363 genetic history of the Middle East (DNA study of the Middle East inhabitants) | Q66006948 Archaeogenetics: DNA and the Population Prehistory of Europe (book published 2000),
Dendrochronology,subject,4,6,Techniques for dating events and environmental change by using the characteristic patterns of annual growth rings in timber and tree trunks.,dendroNetwork; dplR; fellingDateR,dendrochronology,,Q80205 dendrochronology (method of dating based on the analysis of patterns of tree rings) | Q104412433 Dendrochronology (chapter published in 1997) | Q137941743 Dendrochronology (2847th strip of the webcomic xkcd),
Archaeoastronomy,subject,3,3,Concerned with the investigation of the astronomical knowledge of prehistoric cultures.,ArchaeoAstroInsight; ArchaeoLines; skyscapeR,archaeoastronomy,,Q463923 archaeoastronomy (archaeological sub-discipline) | Q121592132 Archaeoastronomy | Q3186886 Journal for the History of Astronomy (academic journal),
Augmented reality,subject,3,3,Creating a composite view comprising computer-generated images superimposed on real world environments.,ARchaeology; ARFloorPlanApp; arshm-release,augmented reality,,Q254183 augmented reality (interactive experience of a real-world environment enhanced by computer-generated perceptual information spatially registered to the user's environment) | Q30928389 Augmented Reality Girls Trinary (video game original net animation) | Q130385717 Augmented Reality (scholarly work by Anne Karhio),
Instrumental Neutron activation analysis,subject,3,3,Technique for identifying the elemental composition of physical objects by bombarding samples with neutrons.,NAA analytical dashboard; nexus; web_geochemistry,neutron activation analysis,,Q2408111 neutron activation analysis (method used for determining the concentrations of elements in many materials) | Q117013525 Neutron activation analysis for cystic fibrosis screening-systematics and washing effects. (master's thesis by Yuki Yamamoto) | Q67609888 NEUTRON ACTIVATION ANALYSIS (NAID 12099) (item in the National Archives and Records Administration's holdings),
Photography,subject,3,3,The practice of photographing archeological entities to create a lasting record of that work.,expotime; PhotoCaptionTool; signboardr,photography,,"Q11633 photography (art, science, and practice of creating durable images by recording light or other electromagnetic radiation) | Q3381576 black-and-white photography (photography genre where each position on an image can record and show a different amount of light, but not a different hue) | Q3100808 photography genre (type of genre; form of photography in terms of a theme or subject)",
Museums,subject,3,3,"Institutions responsible for curating, conserving or exhibiting collections of artefacts or other objects.",heritage-scribe; MAX; StoneAdvisor,museums,,"Q207694 art museum (building or space for the exhibition of art) | Q7374509 Royal Museums Greenwich (network of museums in Greenwich, London) | Q33506 museum (institution that holds artifacts and other objects of scientific, artistic, cultural, historical, or other importance)",
Bibliography,subject,3,6,A list of scholarly work relevant to a particular topic.,caddonet; crossref-predynastic; open-archeocsean,bibliography,,Q1631107 bibliography (list of books or documents relevant to a particular subject or author) | Q134995 bibliography (academic discipline that studies books) | Q63411600 Bibliography of the History of the Czech Lands (database),
Stable isotope analysis,subject,3,9,The identification of isotopic signatures relative abundance of chemical elements within organic and inorganic compounds to understand the flow of energy through a food web and to reconstruct past environmental and climatic conditions.,GlobaLID-App; SCEM; UThwigl,stable isotope analysis,,Q518459 isotope analysis (analytical technique) | Q116478036 stable isotope analysis (analytical technique) | Q112910544 Stable isotope analysis of amino acids: A tool to understand trophic relationships in terrestrial and marine food webs (2015 doctoral thesis by Amandine J M Sabadel at University of Otago),
Drones,subject,2,2,Semi-automated machines used to capture data in environments that are unsuitable or unsafe for direct human presence.,DroneSurveyPlanner; Mask_UAV,drones,,Q18221034 Drones (2015 album by Muse) | Q37550357 Drones (family name) | Q139798662 DroneS (Company specializing in drone technology and software development for the industrial and public safety sectors),
Templates,form,2,2,Sample documents that already have some details in place.,Archaeological_Catalogue_from_CSV_Spreadsheet; ODK-forms-archaeology,templates,,Q23894233 Wikimedia templates category (category containing Wikimedia templates; use with 'instance of' (P31) for Wikimedia category) | Q70575581 genetic templates (macromolecular molds for the synthesis of complementary macromolecules) | Q55579432 Category:Pages with TemplateStyles errors (Wikimedia category),
Lithic analysis,subject,1,1,Identification and analysis of stone tool artefacts.,QuARI,lithic analysis,,"Q6647905 lithic analysis (analysis of chipped stone artifacts using scientific techniques) | Q140702148 Lithic Analysis (scholarly article published in Plains Anthropologist, vol. 48, no. 188 (2003) (DOI: 10.1080/2052546.2003.11949321)) | Q81122137 Lithic analysis in paleoanthropology (scientific article published on 01 September 1968)",
LiDAR,subject,1,2,A method for determining variable distance by targeting an object with a laser and measuring the time for the reflected light to return to the receiver.,OpenLidarToolbox,lidar,,"Q504027 lidar (remote detection instrumentation) | Q58114456 Lidar Sapir-Hen (researcher, ORCID id # 0000-0002-6184-4560) | Q11756536 Lidar (TV program)",
Games,subject,1,4,A structured form of play typically undertaken for entertainment or fun.,civ5-prehistoric,games,,"Q11410 game (structured form of play) | Q8567 2008 Summer Olympics (Games of the XXIX Olympiad, in Beijing, China) | Q8577 2012 Summer Olympics (Games of the XXX Olympiad, in London, United Kingdom)",
Textile archaeology,subject,1,1,Identification and analysis of textiles.,loomtaRt,textile archaeology,,Q55227852 textile archaeology (archaeological specialty; the study of historical textiles),
Harrix matrix,subject,1,1,Representation of archaeological sites as series of connected abstract entities.,HME-HarrisMatrixEditor,Harris matrix,,Q58631008 Harris Matrix (file format) | Q2019166 Harris matrix (method in archaeology) | Q114134235 Harris Matrix Data Package: version 2022 of the hmdp tool with new features for the creation of stratigraphy data packages (scholarly presentation),misspelling of 'Harris matrix'; one entry. Fix upstream.
Lists,catch-all,1,25,"A set of items, not necessarily recorded with systematic intent.",awesome-historical-maps,,,,
